917	120	2021-08-09
895	120	2021-08-09
708	200	2021-08-09
895	289	2021-08-09
552	120	2021-08-09
508	200	2021-08-09
240	120	2021-08-09
730	120	2021-08-09
508	120	2021-08-09
552	120	2021-08-09
552	120	2021-08-09
508	120	2021-08-09
508	120	2021-08-09
508	120	2021-08-09
552	120	2021-08-09
508	120	2021-08-09
552	120	2021-08-09
552	120	2021-08-09
730	1232	2021-08-09
730	1600	2021-08-09
508	120	2021-08-10
895	1200	2021-08-10
895	1000	2021-08-17
300	1900	2021-08-18
300	120	2021-08-18
300	1500	2021-08-18
300	1600	2021-08-18
183	1900	2021-08-18
895	120	2021-10-12
895	120	2022-05-05
